timestamp,text;;
"2021-05-23 05:40:11,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/TLjQ8mZhsq""";;
"2021-05-23 05:40:00,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/yYcgIrGzQ4""";;
"2021-05-23 05:39:53,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/JBCjHPoYXn""";;
"2021-05-23 05:39:49,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/lY8mRCno2L""";;
"2021-05-23 05:39:25,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/38B1eF4R2S""";;
"2021-05-23 05:39:18,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/F0PdNG11wm""";;
"2021-05-23 05:39:16,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/MDhkiMtGxi""";;
"2021-05-23 05:38:55,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/WFMCMNx1iO""";;
"2021-05-23 05:38:47,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/z34ZulYEBt""";;
"2021-05-23 05:38:39,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/RTKRlU0cqr""";;
"2021-05-23 05:38:32,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/uGYigpx4v0""";;
"2021-05-23 05:38:27,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/qlkfwwkDHF""";;
"2021-05-23 05:38:17,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/sWtbTs29Ys""";;
"2021-05-23 05:38:13,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/qVZk8gpSzM""";;
"2021-05-23 05:38:12,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/iPWX00ql8H""";;
"2021-05-23 05:38:12,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/088jiPyii9""";;
"2021-05-23 05:38:11,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/UtN8dzlGFp""";;
"2021-05-23 05:38:10,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/WpXul221jy""";;
"2021-05-23 05:38:10,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/4nYI7hTr7g""";;
"2021-05-23 05:38:07,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/2Mt7FX8Zh9""";;
"2021-05-23 05:38:03,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/ebyKLst7dT""";;
"2021-05-23 05:38:03,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/H1Bvakc2tR""";;
"2021-05-23 05:38:02,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/Ksif2G8vOU""";;
"2021-05-23 05:37:11,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/rnyRQKZpn9""";;
"2021-05-23 05:36:46,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/QgFlQAgt8U""";;
"2021-05-23 05:36:19,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/K0UHVNXCMF""";;
"2021-05-23 05:36:19,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/hQFH5MhsjR""";;
"2021-05-23 05:36:06,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/2K8jM4Bib1""";;
"2021-05-23 05:35:28,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/G93dGvBBT1""";;
"2021-05-23 05:35:16,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/v0wUjn4clU""";;
"2021-05-23 05:35:07,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/B3KL1SGmmn""";;
2021-05-23 05:24:23,Hai @om_ei  yang tidak diwajibkan melampirkan Surat Keterangan Bebas Covid -19 adalah anak usia dibawah 5 tahun. Un… https://t.co/6dcowve60f;;
"2021-05-23 05:16:11,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/cmvlWF9kL0""";;
"2021-05-23 05:16:10,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/vX2m373fK3""";;
"2021-05-23 05:16:10,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/KRBxUAJv4o""";;
"2021-05-23 05:16:09,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/RzL3PlIovt""";;
"2021-05-23 05:16:09,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/L9FyLD8waM""";;
"2021-05-23 05:16:08,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/coUI7cZ19c""";;
"2021-05-23 05:16:08,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/fG9jI4BlDy""";;
"2021-05-23 05:16:03,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/4daA9Abw8s""";;
"2021-05-23 05:16:00,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
